sku,code,name,description,finish,size,price,mrp,uom,category,page,brand,notes
BMDS30,BMDS30,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 300 mm Load: 20 kgs | Set of 4 Pcs,IV,300 mm Load: 20 kgs,200.00,200.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
BMDS35,BMDS35,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 350 mm Load: 20 kgs | Set of 4 Pcs,IV,350 mm Load: 20 kgs,223.00,223.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
BMDS40 Load: 20 kgs,BMDS40,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: Load: 20 kgs | Set of 4 Pcs,BL,400 mm Load: 20 kgs,246.00,246.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
BMDS40 400 mm,BMDS40,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 400 mm | Set of 4 Pcs,BR,400 mm Load: 20 kgs,246.00,246.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs;finish_expanded_from=IV/BR/
BMDS40 400 mm,BMDS40,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 400 mm | Set of 4 Pcs,IV,400 mm Load: 20 kgs,246.00,246.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs;finish_expanded_from=IV/BR/
BMDS45,BMDS45,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 450 mm Load: 20 kgs | Set of 4 Pcs,IV,450 mm Load: 20 kgs,272.00,272.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
BMDS50,BMDS50,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 500 mm Load: 20 kgs | Set of 4 Pcs,IV,500 mm Load: 20 kgs,299.00,299.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
DSRCST30250-ZW,DSRCST30250-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 250 mm Load: 30 kgs | Set of 2 Pcs,ZW,250 mm Load: 30 kgs,265.00,265.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30300-ZW,DSRCST30300-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 300 mm Load: 30 kgs | Set of 2 Pcs,ZW,300 mm Load: 30 kgs,325.00,325.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30350-ZW,DSRCST30350-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 350 mm Load: 30 kgs | Set of 2 Pcs,ZW,350 mm Load: 30 kgs,375.00,375.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30400-ZW,DSRCST30400-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 400 mm Load: 30 kgs | Set of 2 Pcs,ZW,400 mm Load: 30 kgs,415.00,415.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30450-ZW,DSRCST30450-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 450 mm Load: 30 kgs | Set of 2 Pcs,ZW,450 mm Load: 30 kgs,455.00,455.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30500-ZW,DSRCST30500-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 500 mm Load: 30 kgs | Set of 2 Pcs,ZW,500 mm Load: 30 kgs,495.00,495.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
FPDS125-35-6,FPDS125-35-6,Full Panel with 6mm Bottom Track (Ht125mm),Full Panel with 6mm Bottom Track (Ht125mm) | Size: 350 mm Load: 25 kgs | Set of 4 Pcs,IV,350 mm Load: 25 kgs,596.00,596.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS125-40-6,FPDS125-40-6,Full Panel with 6mm Bottom Track (Ht125mm),Full Panel with 6mm Bottom Track (Ht125mm) | Size: 400 mm Load: 25 kgs | Set of 4 Pcs,IV,400 mm Load: 25 kgs,602.00,602.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS125-45-6,FPDS125-45-6,Full Panel with 6mm Bottom Track (Ht125mm),Full Panel with 6mm Bottom Track (Ht125mm) | Size: 450 mm Load: 25 kgs | Set of 4 Pcs,IV,450 mm Load: 25 kgs,728.00,728.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS125-50-6,FPDS125-50-6,Full Panel with 6mm Bottom Track (Ht125mm),Full Panel with 6mm Bottom Track (Ht125mm) | Size: 500 mm Load: 25 kgs | Set of 4 Pcs,IV,500 mm Load: 25 kgs,795.00,795.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS150-35-6,FPDS150-35-6,Full Panel with 6mm Bottom Track (Ht150mm),Full Panel with 6mm Bottom Track (Ht150mm) | Size: 350 mm Load: 25 kgs | Set of 4 Pcs,IV,350 mm Load: 25 kgs,655.00,655.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS150-40-6,FPDS150-40-6,Full Panel with 6mm Bottom Track (Ht150mm),Full Panel with 6mm Bottom Track (Ht150mm) | Size: 400 mm Load: 25 kgs | Set of 4 Pcs,IV,400 mm Load: 25 kgs,720.00,720.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS150-45-6,FPDS150-45-6,Full Panel with 6mm Bottom Track (Ht150mm),Full Panel with 6mm Bottom Track (Ht150mm) | Size: 450 mm Load: 25 kgs | Set of 4 Pcs,IV,450 mm Load: 25 kgs,803.00,803.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS150-50-6,FPDS150-50-6,Full Panel with 6mm Bottom Track (Ht150mm),Full Panel with 6mm Bottom Track (Ht150mm) | Size: 500 mm Load: 25 kgs | Set of 4 Pcs,IV,500 mm Load: 25 kgs,874.00,874.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS54-35-6,FPDS54-35-6,Full Panel with 6mm Bottom Track (Ht54mm),Full Panel with 6mm Bottom Track (Ht54mm) | Size: 350 mm Load: 25 kgs | Set of 4 Pcs,IV,350 mm Load: 25 kgs,387.00,387.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=30;pcs_set=Set of 4 Pcs
FPDS54-40-6,FPDS54-40-6,Full Panel with 6mm Bottom Track (Ht54mm),Full Panel with 6mm Bottom Track (Ht54mm) | Size: 400 mm Load: 25 kgs | Set of 4 Pcs,IV,400 mm Load: 25 kgs,402.00,402.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=30;pcs_set=Set of 4 Pcs
FPDS54-45-6,FPDS54-45-6,Full Panel with 6mm Bottom Track (Ht54mm),Full Panel with 6mm Bottom Track (Ht54mm) | Size: 450 mm Load: 25 kgs | Set of 4 Pcs,IV,450 mm Load: 25 kgs,469.00,469.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=30;pcs_set=Set of 4 Pcs
FPDS86-35-6,FPDS86-35-6,Full Panel with 6mm Bottom Track (Ht86mm),Full Panel with 6mm Bottom Track (Ht86mm) | Size: 350 mm Load: 25 kgs | Set of 4 Pcs,IV,350 mm Load: 25 kgs,483.00,483.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=25;pcs_set=Set of 4 Pcs
FPDS86-40-6,FPDS86-40-6,Full Panel with 6mm Bottom Track (Ht86mm),Full Panel with 6mm Bottom Track (Ht86mm) | Size: 400 mm Load: 25 kgs | Set of 4 Pcs,IV,400 mm Load: 25 kgs,487.00,487.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=25;pcs_set=Set of 4 Pcs
FPDS86-45-6,FPDS86-45-6,Full Panel with 6mm Bottom Track (Ht86mm),Full Panel with 6mm Bottom Track (Ht86mm) | Size: 450 mm Load: 25 kgs | Set of 4 Pcs,IV,450 mm Load: 25 kgs,588.00,588.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=25;pcs_set=Set of 4 Pcs
FPDS86-50-6,FPDS86-50-6,Full Panel with 6mm Bottom Track (Ht86mm),Full Panel with 6mm Bottom Track (Ht86mm) | Size: 500 mm Load: 25 kgs | Set of 4 Pcs,IV,500 mm Load: 25 kgs,640.00,640.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=25;pcs_set=Set of 4 Pcs
FPQ54-40-40,FPQ54-40-40,Full Panel Quick Fit (Ht54),Full Panel Quick Fit (Ht54) | Size: 54 x 400 x 400 Load: 25 kgs | Set of 5 Pcs,IV,54 x 400 x 400 Load: 25 kgs,544.00,544.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=25;pcs_set=Set of 5 Pcs
STDS-35-35,STDS-35-35,Sleek Telescopic Drawer Slides -35,Sleek Telescopic Drawer Slides -35 | Size: 350 mm Load: 35 kgs | Set of 2 Pcs,ZB,350 mm Load: 35 kgs,410.00,410.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS-35-35,STDS-35-35,Sleek Telescopic Drawer Slides -35,Sleek Telescopic Drawer Slides -35 | Size: 350 mm Load: 35 kgs | Set of 2 Pcs,ZW,350 mm Load: 35 kgs,410.00,410.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS-40-35,STDS-40-35,Sleek Telescopic Drawer Slides -35,Sleek Telescopic Drawer Slides -35 | Size: 400 mm Load: 35 kgs | Set of 2 Pcs,ZB,400 mm Load: 35 kgs,455.00,455.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS-40-35,STDS-40-35,Sleek Telescopic Drawer Slides -35,Sleek Telescopic Drawer Slides -35 | Size: 400 mm Load: 35 kgs | Set of 2 Pcs,ZW,400 mm Load: 35 kgs,455.00,455.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS-45-35,STDS-45-35,Sleek Telescopic Drawer Slides -35,Sleek Telescopic Drawer Slides -35 | Size: 450 mm Load: 35 kgs | Set of 2 Pcs,ZB,450 mm Load: 35 kgs,510.00,510.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS-45-35,STDS-45-35,Sleek Telescopic Drawer Slides -35,Sleek Telescopic Drawer Slides -35 | Size: 450 mm Load: 35 kgs | Set of 2 Pcs,ZW,450 mm Load: 35 kgs,510.00,510.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS-50-35,STDS-50-35,Sleek Telescopic Drawer Slides -35,Sleek Telescopic Drawer Slides -35 | Size: 500 mm Load: 35 kgs | Set of 2 Pcs,ZB,500 mm Load: 35 kgs,549.00,549.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS-50-35,STDS-50-35,Sleek Telescopic Drawer Slides -35,Sleek Telescopic Drawer Slides -35 | Size: 500 mm Load: 35 kgs | Set of 2 Pcs,ZW,500 mm Load: 35 kgs,549.00,549.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-25-35,STDS1-25-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 250 mm Load: 35 kgs | Set of 2 Pcs,ZB,250 mm Load: 35 kgs,302.00,302.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-25-35,STDS1-25-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 250 mm Load: 35 kgs | Set of 2 Pcs,ZW,250 mm Load: 35 kgs,302.00,302.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-30-35,STDS1-30-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 300 mm Load: 35 kgs | Set of 2 Pcs,ZB,300 mm Load: 35 kgs,362.00,362.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-30-35,STDS1-30-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 300 mm Load: 35 kgs | Set of 2 Pcs,ZW,300 mm Load: 35 kgs,362.00,362.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-35-35,STDS1-35-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 350 mm Load: 35 kgs | Set of 2 Pcs,ZB,350 mm Load: 35 kgs,410.00,410.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-35-35,STDS1-35-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 350 mm Load: 35 kgs | Set of 2 Pcs,ZW,350 mm Load: 35 kgs,410.00,410.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-40-35,STDS1-40-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 400 mm Load: 35 kgs | Set of 2 Pcs,ZB,400 mm Load: 35 kgs,455.00,455.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-40-35,STDS1-40-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 400 mm Load: 35 kgs | Set of 2 Pcs,ZW,400 mm Load: 35 kgs,455.00,455.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-45-35,STDS1-45-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 450 mm Load: 35 kgs | Set of 2 Pcs,ZB,450 mm Load: 35 kgs,510.00,510.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-45-35,STDS1-45-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 450 mm Load: 35 kgs | Set of 2 Pcs,ZW,450 mm Load: 35 kgs,510.00,510.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-50-35,STDS1-50-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 500 mm Load: 35 kgs | Set of 2 Pcs,ZB,500 mm Load: 35 kgs,549.00,549.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-50-35,STDS1-50-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 500 mm Load: 35 kgs | Set of 2 Pcs,ZW,500 mm Load: 35 kgs,549.00,549.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-55-35,STDS1-55-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 550 mm Load: 35 kgs | Set of 2 Pcs,ZB,550 mm Load: 35 kgs,624.00,624.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-55-35,STDS1-55-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 550 mm Load: 35 kgs | Set of 2 Pcs,ZW,550 mm Load: 35 kgs,624.00,624.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-60-35,STDS1-60-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 600 mm Load: 35 kgs | Set of 2 Pcs,ZB,600 mm Load: 35 kgs,679.00,679.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS1-60-35,STDS1-60-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 600 mm Load: 35 kgs | Set of 2 Pcs,ZW,600 mm Load: 35 kgs,679.00,679.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS25-I-35,STDS25-I-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 250 mm Load: 35 kgs | Set of 2 Pcs,ZB,250 mm Load: 35 kgs,302.00,302.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS25-I-35,STDS25-I-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 250 mm Load: 35 kgs | Set of 2 Pcs,ZW,250 mm Load: 35 kgs,302.00,302.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS30-I-35,STDS30-I-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 300 mm Load: 35 kgs | Set of 2 Pcs,ZB,300 mm Load: 35 kgs,362.00,362.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS30-I-35,STDS30-I-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 300 mm Load: 35 kgs | Set of 2 Pcs,ZW,300 mm Load: 35 kgs,362.00,362.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS35-I-35,STDS35-I-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 350 mm Load: 35 kgs | Set of 2 Pcs,ZW,350 mm Load: 35 kgs,410.00,410.00,SET,Drawer Slides,2,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
DSSCST30300-ZW,DSSCST30300-ZW,Sleek Telescopic Drawer Slides 36mm-30 Kg - Soft Close,Sleek Telescopic Drawer Slides 36mm-30 Kg - Soft Close | Size: 300 mm Load: 30 kgs | Set of 2 Pcs,ZW,300 mm Load: 30 kgs,615.00,615.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;pcs_set=Set of 2 Pcs
DSSCST30350-ZW,DSSCST30350-ZW,Sleek Telescopic Drawer Slides 36mm-30 Kg - Soft Close,Sleek Telescopic Drawer Slides 36mm-30 Kg - Soft Close | Size: 350mm Load: 30 kgs | Set of 2 Pcs,ZW,350mm Load: 30 kgs,675.00,675.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;pcs_set=Set of 2 Pcs
PSTDS60-35-SC,PSTDS60-35-SC,Premium Sleek Telescopic Slides (35 kg) - Soft Close,Premium Sleek Telescopic Slides (35 kg) - Soft Close | Size: 600 mm,ZW,600 mm,1466.00,1466.00,SET,Drawer Slides,3,EBCO,audit_added_missing
STDS25-I-45,STDS25-I-45,Sleek Telescopic Drawer Slides - (I) 45,Sleek Telescopic Drawer Slides - (I) 45 | Size: 250 mm Load: 45 kgs | Set of 2 Pcs,ZB,250 mm Load: 45 kgs,342.00,342.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS25-I-45,STDS25-I-45,Sleek Telescopic Drawer Slides - (I) 45,Sleek Telescopic Drawer Slides - (I) 45 | Size: 250 mm Load: 45 kgs | Set of 2 Pcs,ZW,250 mm Load: 45 kgs,342.00,342.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS30-I-45,STDS30-I-45,Sleek Telescopic Drawer Slides - (I) 45,Sleek Telescopic Drawer Slides - (I) 45 | Size: 300 mm Load: 45 kgs | Set of 2 Pcs,ZB,300 mm Load: 45 kgs,381.00,381.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS30-I-45,STDS30-I-45,Sleek Telescopic Drawer Slides - (I) 45,Sleek Telescopic Drawer Slides - (I) 45 | Size: 300 mm Load: 45 kgs | Set of 2 Pcs,ZW,300 mm Load: 45 kgs,381.00,381.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS35-I-35,STDS35-I-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 350 mm Load: 35 kgs | Set of 2 Pcs,ZB,350 mm Load: 35 kgs,410.00,410.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS35-I-45,STDS35-I-45,Sleek Telescopic Drawer Slides - (I) 45,Sleek Telescopic Drawer Slides - (I) 45 | Size: 350 mm Load: 45 kgs | Set of 2 Pcs,ZB,350 mm Load: 45 kgs,420.00,420.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS35-I-45,STDS35-I-45,Sleek Telescopic Drawer Slides - (I) 45,Sleek Telescopic Drawer Slides - (I) 45 | Size: 350 mm Load: 45 kgs | Set of 2 Pcs,ZW,350 mm Load: 45 kgs,420.00,420.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS40-I-35,STDS40-I-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 400 mm Load: 35 kgs | Set of 2 Pcs,ZB,400 mm Load: 35 kgs,455.00,455.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS40-I-35,STDS40-I-35,Sleek Telescopic Drawer Slides 1 - 35,Sleek Telescopic Drawer Slides 1 - 35 | Size: 400 mm Load: 35 kgs | Set of 2 Pcs,ZW,400 mm Load: 35 kgs,455.00,455.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
STDS40-I-45,STDS40-I-45,Sleek Telescopic Drawer Slides - (I) 45,Sleek Telescopic Drawer Slides - (I) 45 | Size: 400 mm Load: 45 kgs | Set of 2 Pcs,ZB,400 mm Load: 45 kgs,484.00,484.00,SET,Drawer Slides,3,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;finish_expanded_from=ZW/ZB
